title,price,description,image_link
Toyota Camry,$ 32 000,"2021 г., 3.5 л., автомат, седан, бензин, руль слева, 32 000 км",https://im.mashina.kg/tachka/images//5/8/d/58d6fb54321486e22436bfd620590f7a_240x180.jpg
BMW 5 Серия,$ 38 000,"2017 г., 2 л., автомат, седан, дизель, руль слева, 93 000 км",https://im.mashina.kg/tachka/images//4/1/0/4107ffba9a5376eb823f84be88efeb00_240x180.jpg
Toyota Camry,$ 27 500,"2019 г., 2.5 л., автомат, седан, бензин, руль слева",https://im.mashina.kg/tachka/images//f/7/e/f7e711bad22d67734773120e39558cf6_240x180.jpg
Toyota Highlander,$ 36 500,"2016 г., 3.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 90 000 км",https://im.mashina.kg/tachka/images//e/f/9/ef94753fa14e4f85186fe9275147b902_240x180.jpg
Toyota RAV4,$ 42 000,"2019 г., 2.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 40 000 км",https://im.mashina.kg/tachka/images//c/6/9/c69641ad400a8a605f539fcbef29da6c_240x180.jpg
Mercedes-Benz GLC-класс,$ 51 000,"2021 г., 2 л., автомат, внедорожник 5 дв., бензин, руль слева, 16 000 км",https://im.mashina.kg/tachka/images//0/c/1/0c114a3a49ce25df20ecaf8e3443b3ba_240x180.jpg
Toyota Ist,$ 5 950,"2003 г., 1.3 л., автомат, хэтчбек 5 дв., бензин, руль справа",https://im.mashina.kg/tachka/images//b/e/b/beb149a102e27e1fc731b130503e64a6_240x180.jpg
Toyota Camry,$ 37 000,"2020 г., 2.5 л., вариатор, седан, гибрид, руль слева, 35 000 км",https://im.mashina.kg/tachka/images//7/8/7/787feefcabc3dd9e709a149debb82e19_240x180.jpg
Toyota Camry,$ 35 000,"2020 г., 2.5 л., вариатор, седан, гибрид, руль слева, 80 000 км",https://im.mashina.kg/tachka/images//b/7/4/b746acc3d459bf42d484532aa0ecd819_240x180.jpg
Toyota Camry,$ 14 200,"2016 г., 2.5 л., автомат, седан, бензин, руль слева, 200 000 км",https://im.mashina.kg/tachka/images//0/0/e/00e0cc1fd1bf0932c2fd3837889efc10_240x180.jpg
Mercedes-Benz S-класс,$ 9 300,"2003 г., 4.3 л., автомат, седан, бензин, руль слева, 270 270 км",https://im.mashina.kg/tachka/images//a/0/e/a0eae44c14f831e26ea908eb71be56bc_240x180.jpg
Mercedes-Benz E-класс,$ 6 400,"2000 г., 2.4 л., автомат, седан, бензин, руль слева, 250 000 км",https://im.mashina.kg/tachka/images//6/7/8/6788386d4ff683e71af03bd85e7f4c79_240x180.jpg
Toyota Avalon,$ 25 000,"2016 г., 2.5 л., вариатор, седан, гибрид, руль слева, 77 000 км",https://im.mashina.kg/tachka/images//6/c/e/6ce87faf9a58b3cbb087e59f25595af0_240x180.jpg
Toyota Camry,$ 11 300,"2009 г., 2.4 л., автомат, седан, бензин, руль слева",https://im.mashina.kg/tachka/images//8/6/6/866a625c95aa74b096cad7a2c67a33c7_240x180.jpg
Lexus GX,$ 18 500,"2003 г., 4.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 171 000 км",https://im.mashina.kg/tachka/images//d/6/a/d6a354fd57041c008283a0f6df82e245_240x180.jpg
BMW X6,$ 13 500,"2008 г., 4.4 л., автомат, внедорожник 5 дв., бензин, руль слева",https://im.mashina.kg/tachka/images//c/5/9/c591f0e81d031c01b6fadd18ffd4a92a_240x180.jpg
Scion xD,$ 10 000,"2008 г., 1.8 л., автомат, хэтчбек 5 дв., бензин, руль слева, 145 000 км",https://im.mashina.kg/tachka/images//0/f/b/0fb8af0167b10d442c9d540bd4d6e853_240x180.jpg
Toyota Land Cruiser,$ 30 500,"2007 г., 4.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 180 000 км",https://im.mashina.kg/tachka/images//7/f/d/7fd456a5d138657ccf52cce28e41b3b4_240x180.jpg
Toyota Land Cruiser,$ 70 000,"2016 г., 4.6 л., автомат, внедорожник 5 дв., бензин, руль слева, 85 000 км",https://im.mashina.kg/tachka/images//6/6/9/669d236926159609bdd5ddda15bccec6_240x180.jpg
BMW 5 Серия,$ 5 500,"2002 г., 3 л., автомат, седан, бензин, руль слева",https://im.mashina.kg/tachka/images//d/5/6/d5676cc17c50d0b8cd95327c0314a652_240x180.jpg
Toyota Camry,$ 15 200,"2012 г., 2.5 л., автомат, седан, бензин, руль слева, 160 960 км",https://im.mashina.kg/tachka/images//1/8/c/18c079a286d614c71ca002c022028cad_240x180.jpg
Hyundai Palisade,$ 45 000,"2019 г., 2.2 л., автомат, внедорожник 5 дв., дизель, руль слева, 89 000 км",https://im.mashina.kg/tachka/images//f/6/7/f67c109a641eb01a6dc60d100b20b69f_240x180.jpg
Lexus GX,$ 26 800,"2005 г., 4.7 л., автомат, внедорожник 5 дв., бензин, руль слева",https://im.mashina.kg/tachka/images//3/9/d/39d231a778023d493d8e8d99d2740d0d_240x180.jpg
Kia K5 II Седан,$ 13 999,"2016 г., 2 л., автомат, седан, газ, руль слева, 260 000 км",https://im.mashina.kg/tachka/images//4/b/1/4b144cd54af010dc6e35188feeee03ac_240x180.jpg
Lexus RX,$ 25 500,"2011 г., 3.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 102 500 км",https://im.mashina.kg/tachka/images//9/2/d/92dc858ef3fef1cc8075152a6a983a64_240x180.jpg
Lexus LX,$ 83 000,"2016 г., 4.5 л., автомат, внедорожник 5 дв., дизель, руль слева, 137 000 км",https://im.mashina.kg/tachka/images//5/7/5/575bf9176b478b589138cbc3f949278a_240x180.jpg
Land Rover Range Rover Sport,$ 23 000,"2010 г., 5 л., автомат, внедорожник 5 дв., бензин, руль слева",https://im.mashina.kg/tachka/images//c/0/4/c0446b24a0f6e4a3773143f370162427_240x180.jpg
Lexus GS,$ 11 500,"2006 г., 3.5 л., вариатор, седан, гибрид, руль слева, 183 000 км",https://im.mashina.kg/tachka/images//9/1/5/915a99195e3138244655e4f073510d2d_240x180.jpg
Lexus LX,$ 240 000,"2022 г., 3.4 л., автомат, внедорожник 5 дв., бензин, руль слева, 13 500 км",https://im.mashina.kg/tachka/images//a/2/9/a293609bc7418a5bef592e966b093c0f_240x180.jpg
BMW X6,$ 118 000,"2021 г., 3 л., автомат, внедорожник 5 дв., бензин, руль слева, 9 800 км",https://im.mashina.kg/tachka/images//4/0/2/402fa78d76b2cefd2d48c2c21e5e587f_240x180.jpg
Kia K7,$ 15 200,"2017 г., 3 л., автомат, седан, газ, руль слева",https://im.mashina.kg/tachka/images//c/e/6/ce6d689c539530d96964e790f6344731_240x180.jpg
Land Rover Range Rover Sport,$ 40 000,"2014 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 170 000 км",https://im.mashina.kg/tachka/images//2/6/c/26caa2753a3e068caa3d24ad69931fdb_240x180.jpg
Toyota Camry,$ 38 000,"2018 г., 3.5 л., автомат, седан, бензин, руль слева",https://im.mashina.kg/tachka/images//c/1/b/c1b390df6e2060c86eb0d2a56b168729_240x180.jpg
Land Rover Range Rover Velar,$ 68 000,"2017 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 72 000 км",https://im.mashina.kg/tachka/images//5/7/2/572b72b78536345cd8d2428b564a74cc_240x180.jpg
BMW 7 Серия,$ 57 000,"2016 г., 4.4 л., автомат, седан, бензин, руль слева",https://im.mashina.kg/tachka/images//f/c/6/fc6f7e7d35776cd5ce149fa2db48c950_240x180.jpg
BMW 5 Серия,$ 43 000,"2018 г., 2 л., автомат, седан, бензин, руль слева",https://im.mashina.kg/tachka/images//3/2/f/32fb5405f2f79dd8d4f23f8571949411_240x180.jpg
Mercedes-Benz CL-класс,$ 8 200,"2003 г., 5 л., автомат, купе, бензин, руль слева",https://im.mashina.kg/tachka/images//2/2/5/225f373a55b1621639aaa4901d4de0b5_240x180.jpg
